"phrase";"replacements";"message";"url
"overwhelming";"immense";"Weasel Word Detected";
"probably";"conceivably";"Weasel Word Detected";
"proven";"verified";"Weasel Word Detected";
"relative";"comparative";"Weasel Word Detected";
"relatively";"proportionally";"Weasel Word Detected";
"roughly";"approximately";"Weasel Word Detected";
"several";"numerous";"Weasel Word Detected";
"significant";"noteworthy";"Weasel Word Detected";
"significantly";"markedly";"Weasel Word Detected";
"slow";"gradual";"Weasel Word Detected";
"slower";"more gradually";"Weasel Word Detected";
"small";"minuscule";"Weasel Word Detected";
"smaller";"tinier";"Weasel Word Detected";
"some";"numerous";"Weasel Word Detected";
"somehow";"in some way";"Weasel Word Detected";
"soon";"in the near future";"Weasel Word Detected";
"sort of";"somewhat";"Weasel Word Detected";
"tiny";"minuscule";"Weasel Word Detected";
"lots";"abundant";"Weasel Word Detected";
"usually";"typically";"Weasel Word Detected";
"varied";"assorted";"Weasel Word Detected";
"various";"diverse";"Weasel Word Detected";
"vast";"immense";"Weasel Word Detected";
"very";"exceedingly";"Weasel Word Detected";
"well";"proficiently";"Weasel Word Detected";
"worse";"deteriorated";"Weasel Word Detected";
"worst";"least favorable";"Weasel Word Detected";
"again";"";"Filler Word Detected";
"already";"";"Filler Word Detected";
"anyway";"";"Filler Word Detected";
"appeared";"";"Filler Word Detected";
"back";"";"Filler Word Detected";
"be able to";"";"Filler Word Detected";
"began";"";"Filler Word Detected";
"believed";"";"Filler Word Detected";
"considered";"";"Filler Word Detected";
"decided";"";"Filler Word Detected";
"due to the fact that";"";"Filler Word Detected";
"for the purpose of";"";"Filler Word Detected";
"for the purposes of";"";"Filler Word Detected";
"heard";"";"Filler Word Detected";
"idea";"";"Filler Word Detected";
"just";"";"Filler Word Detected";
"knew";"";"Filler Word Detected";
"lacked the ability to";"";"Filler Word Detected";
"looked";"";"Filler Word Detected";
"noticed";"";"Filler Word Detected";
"only";"";"Filler Word Detected";
"own";"";"Filler Word Detected";
"partnered with";"";"Filler Word Detected";
"partnering with";"";"Filler Word Detected";
"rather";"";"Filler Word Detected";
"real";"";"Filler Word Detected";
"recognized";"";"Filler Word Detected";
"realized";"";"Filler Word Detected";
"saw";"";"Filler Word Detected";
"seemed";"";"Filler Word Detected";
"smelled";"";"Filler Word Detected";
"started";"";"Filler Word Detected";
"still";"";"Filler Word Detected";
"supposed";"";"Filler Word Detected";
"thought";"";"Filler Word Detected";
"touched";"";"Filler Word Detected";
"understood";"";"Filler Word Detected";
"until such time as";"";"Filler Word Detected";
"watched";"";"Filler Word Detected";
"with the exception of";"";"Filler Word Detected";
"with the possible exception of";"";"Filler Word Detected";
"wondered";"";"Filler Word Detected";
"believe";"conclude";"Indirect Word Detected";
"can";"capable of";"Indirect Word Detected";
"can";"are";"Indirect Word Detected";
"could";"was capable of";"Indirect Word Detected";
"could";"will";"Indirect Word Detected";
"hope";"anticipate";"Indirect Word Detected";
"if we were to";"in the event that";"Indirect Word Detected";
"in general";"broadly";"Indirect Word Detected";
"like";"akin to";"Indirect Word Detected";
"like";"including";"Indirect Word Detected";
"may";"";"Indirect Word Detected";
"maybe";"";"Indirect Word Detected";
"need to";"require";"Indirect Word Detected";
"planning on";"intending to";"Indirect Word Detected";
"planning to";"intending to";"Indirect Word Detected";
"possible";"achievable";"Indirect Word Detected";
"possibly";"conceivably";"Indirect Word Detected";
"seem";"appear";"Indirect Word Detected";
"seems";"appears";"Indirect Word Detected";
"should";"must";"Indirect Word Detected";
"there is";"exists";"Indirect Word Detected";
"think";"consider";"Indirect Word Detected";
"thinks";"considers";"Indirect Word Detected";
"tries";"attempts";"Indirect Word Detected";
"try";"attempt";"Indirect Word Detected";
"want to";"aspire to";"Indirect Word Detected";
"wanted to";"aspired to";"Indirect Word Detected";
"was";"acted as";"Indirect Word Detected";
"wasn’t";"did not exist as";"Indirect Word Detected";
"would";"will";"Indirect Word Detected";
"adaptable";"flexible";"Emotional Word Detected";
"advantage";"benefit";"Emotional Word Detected";
"advantageous";"beneficial";"Emotional Word Detected";
"aggravate";"intensify";"Emotional Word Detected";
"aggressive";"assertive";"Emotional Word Detected";
"agitated";"unsettled";"Emotional Word Detected";
"agony";"stress";"Emotional Word Detected";
"alarmed";"alerted";"Emotional Word Detected";
"alienated";"isolated";"Emotional Word Detected";
"amazing";"outstanding";"Emotional Word Detected";
"anger";"irritation";"Emotional Word Detected";
"angry";"irritated";"Emotional Word Detected";
"antagonistic";"hostile";"Emotional Word Detected";
"anxious";"uneasy";"Emotional Word Detected";
"appalled";"shocked";"Emotional Word Detected";
"argumentative";"disputative";"Emotional Word Detected";
"astonishing";"surprising";"Emotional Word Detected";
"astounded";"astonished";"Emotional Word Detected";
"astounding";"surprising";"Emotional Word Detected";
"atrocious";"dreadful";"Emotional Word Detected";
"authentic";"legitimate";"Emotional Word Detected";
"authoritative";"official";"Emotional Word Detected";
"awesome";"outstanding";"Emotional Word Detected";
"awkward";"ungainly";"Emotional Word Detected";
"balanced";"equitable";"Emotional Word Detected";
"bliss";"contentment";"Emotional Word Detected";
"blissful";"content";"Emotional Word Detected";
"calm";"composed";"Emotional Word Detected";
"certain";"assured";"Emotional Word Detected";
"certainly";"undoubtedly";"Emotional Word Detected";
"cheerful";"assured";"Emotional Word Detected";
"clarity";"precision";"Emotional Word Detected";
"straight-forward";"transparent";"Emotional Word Detected";
"clear";"transparent";"Emotional Word Detected";
"compulsive";"uncontrollable";"Emotional Word Detected";
"concern";"apprehension";"Emotional Word Detected";
"concerned";"apprehensive";"Emotional Word Detected";
"condemning";"disapproving";"Emotional Word Detected";
"condescending";"patronizing";"Emotional Word Detected";
"confident";"assured";"Emotional Word Detected";
"conscientious";"meticulous";"Emotional Word Detected";
"contrary";"contradictory";"Emotional Word Detected";
"controlling";"regulating";"Emotional Word Detected";
"cooperative";"collaborative";"Emotional Word Detected";
"corrupting";"destructive";"Emotional Word Detected";
"cowardly";"hesitant";"Emotional Word Detected";
"critical";"essential";"Emotional Word Detected";
"damaging";"destructive";"Emotional Word Detected";
"definitely";"undoubtedly";"Emotional Word Detected";
"dejected";"discouraged";"Emotional Word Detected";
"delighted";"content";"Emotional Word Detected";
"delightful";"pleasant";"Emotional Word Detected";
"deplorable";"lamentable";"Emotional Word Detected";
"depressed";"melancholic";"Emotional Word Detected";
"desperate";"strained";"Emotional Word Detected";
"despicable";"contemptible";"Emotional Word Detected";
"disadvantages";"limitations";"Emotional Word Detected";
"disastrous";"catastrophic";"Emotional Word Detected";
"disdainful";"disrespectful";"Emotional Word Detected";
"disgusted";"repelled";"Emotional Word Detected";
"dishonest";"deceitful";"Emotional Word Detected";
"disillusioned";"disappointed";"Emotional Word Detected";
"disoriented";"bewildered";"Emotional Word Detected";
"dispair";"desperation";"Emotional Word Detected";
"distracted";"unfocused";"Emotional Word Detected";
"distraught";"strained";"Emotional Word Detected";
"distress";"stress";"Emotional Word Detected";
"distressed";"troubled";"Emotional Word Detected";
"doomed";"destined";"Emotional Word Detected";
"doubt";"skepticism";"Emotional Word Detected";
"doubtful";"skeptical";"Emotional Word Detected";
"dread";"apprehension";"Emotional Word Detected";
"dynamic";"active";"Emotional Word Detected";
"effective";"productive";"Emotional Word Detected";
"efficient";"streamlined";"Emotional Word Detected";
"elated";"ecstatic";"Emotional Word Detected";
"elation";"euphoria";"Emotional Word Detected";
"eliminate";"remove";"Emotional Word Detected";
"embarrassed";"self-conscious";"Emotional Word Detected";
"embarrassing";"uneasy";"Emotional Word Detected";
"embarrassment";"awkwardness";"Emotional Word Detected";
"empowered";"strengthened";"Emotional Word Detected";
"enraged";"incensed";"Emotional Word Detected";
"enthusiastic";"eager";"Emotional Word Detected";
"euphoric";"ecstatic";"Emotional Word Detected";
"exasperated";"annoyed";"Emotional Word Detected";
"excellence";"distinction";"Emotional Word Detected";
"excellent";"exceptional";"Emotional Word Detected";
"excited";"eager";"Emotional Word Detected";
"excitement";"enthusiasm";"Emotional Word Detected";
"exhilarated";"content";"Emotional Word Detected";
"exhilaration";"eager";"Emotional Word Detected";
"exuberant";"eager";"Emotional Word Detected";
"fabulous";"fantastic";"Emotional Word Detected";
"fear";"apprehension";"Emotional Word Detected";
"felt";"experienced";"Emotional Word Detected";
"festive";"celebratory";"Emotional Word Detected";
"focused";"concentrated";"Emotional Word Detected";
"forgiving";"lenient";"Emotional Word Detected";
"frustrated";"annoyed";"Emotional Word Detected";
"frustration";"annoyance";"Emotional Word Detected";
"fulfilled";"content";"Emotional Word Detected";
"fun-loving";"optomistic";"Emotional Word Detected";
"furious";"incensed";"Emotional Word Detected";
"genuine";"legitimate";"Emotional Word Detected";
"glad";"content";"Emotional Word Detected";
"gleeful";"content";"Emotional Word Detected";
"glorious";"impressive";"Emotional Word Detected";
"gratified";"content";"Emotional Word Detected";
"grounded";"secure";"Emotional Word Detected";
"guaranteed";"assured";"Emotional Word Detected";
"happy";"content";"Emotional Word Detected";
"harmful";"destructive";"Emotional Word Detected";
"harsh";"rigorous";"Emotional Word Detected";
"helpless";"susceptible";"Emotional Word Detected";
"hesitate";"pause";"Emotional Word Detected";
"honored";"advantaged";"Emotional Word Detected";
"hoped";"anticipated";"Emotional Word Detected";
"hopeless";"cynical";"Emotional Word Detected";
"impatient";"eager";"Emotional Word Detected";
"incapable";"unskilled";"Emotional Word Detected";
"incapacitated";"impaired";"Emotional Word Detected";
"incompetent";"inadequate";"Emotional Word Detected";
"inconsiderate";"inattentive";"Emotional Word Detected";
"indecisive";"hesitant";"Emotional Word Detected";
"inferior";"substandard";"Emotional Word Detected";
"infuriated";"provoked";"Emotional Word Detected";
"invest";"""dedicate";""Emotional Word Detected";"";
"investment";"allocation";"Emotional Word Detected";
"jealous";"covetous";"Emotional Word Detected";
"joy";"jubilant";"Emotional Word Detected";
"joyful";"content";"Emotional Word Detected";
"joyous";"content";"Emotional Word Detected";
"judgmental";"evaluative";"Emotional Word Detected";
"liberated";"released";"Emotional Word Detected";
"lighthearted";"carefree";"Emotional Word Detected";
"magical";"captivating";"Emotional Word Detected";
"magnificent";"impressive";"Emotional Word Detected";
"malicious";"malevolent";"Emotional Word Detected";
"manipulative";"calculating";"Emotional Word Detected";
"miracle";"phenomenon";"Emotional Word Detected";
"miraculous";"extraordinary";"Emotional Word Detected";
"mirth";"amusement";"Emotional Word Detected";
"misgiving";"apprehension";"Emotional Word Detected";
"nervous";"apprehensive";"Emotional Word Detected";
"offensive";"objectionable";"Emotional Word Detected";
"off-kilter";"irregular";"Emotional Word Detected";
"optimistic";"assured";"Emotional Word Detected";
"ordeal";"challenge";"Emotional Word Detected";
"outrageous";"shocking";"Emotional Word Detected";
"overjoyed";"content";"Emotional Word Detected";
"overwhelmed";"inundated";"Emotional Word Detected";
"panic";"stress";"Emotional Word Detected";
"panicked";"strained";"Emotional Word Detected";
"pathetic";"lamentable";"Emotional Word Detected";
"perplexed";"bewildered";"Emotional Word Detected";
"perplexing";"confusing";"Emotional Word Detected";
"pessimistic";"cynical";"Emotional Word Detected";
"pleased";"content";"Emotional Word Detected";
"poisonous";"destructive";"Emotional Word Detected";
"powerless";"vunerable";"Emotional Word Detected";
"presumably";"allegedly";"Emotional Word Detected";
"privileged";"advantaged";"Emotional Word Detected";
"provoke";"confrontational";"Emotional Word Detected";
"quarrelsome";"confrontational";"Emotional Word Detected";
"rebellious";"defiant";"Emotional Word Detected";
"reliable";"dependable";"Emotional Word Detected";
"relief";"alleviation";"Emotional Word Detected";
"relieved";"reassured";"Emotional Word Detected";
"remarkable";"outstanding";"Emotional Word Detected";
"reprimanding";"admonishing";"Emotional Word Detected";
"repulsed";"repelled";"Emotional Word Detected";
"repulsive";"repellent";"Emotional Word Detected";
"resentful";"aggrieved";"Emotional Word Detected";
"responsible";"accountable";"Emotional Word Detected";
"responsive";"interactive";"Emotional Word Detected";
"retaliation";"vengeance";"Emotional Word Detected";
"revenge";"vengeance";"Emotional Word Detected";
"revolutionary";"groundbreaking";"Emotional Word Detected";
"safe";"secure";"Emotional Word Detected";
"safety";"security";"Emotional Word Detected";
"sarcastic";"ironic";"Emotional Word Detected";
"satisfied";"content";"Emotional Word Detected";
"save";"preserve";"Emotional Word Detected";
"scandal";"debacle";"Emotional Word Detected";
"scared";"frightened";"Emotional Word Detected";
"scornful";"contemptuous";"Emotional Word Detected";
"self-sufficient";"independent";"Emotional Word Detected";
"sensational";"outstanding";"Emotional Word Detected";
"severe";"serious";"Emotional Word Detected";
"shameful";"disgraceful";"Emotional Word Detected";
"shock";"surprise";"Emotional Word Detected";
"sincere";"legitimate";"Emotional Word Detected";
"solid";"robust";"Emotional Word Detected";
"sorrow";"grief";"Emotional Word Detected";
"spiteful";"retaliatory";"Emotional Word Detected";
"stability";"steadiness";"Emotional Word Detected";
"stable";"secure";"Emotional Word Detected";
"startling";"unexpected";"Emotional Word Detected";
"steady";"constant";"Emotional Word Detected";
"stressed";"strained";"Emotional Word Detected";
"superb";"exceptional";"Emotional Word Detected";
"superior";"higher-quality";"Emotional Word Detected";
"supported";"reinforced";"Emotional Word Detected";
"sure";"assured";"Emotional Word Detected";
"surprised";"astonished";"Emotional Word Detected";
"suspicious";"distrustful";"Emotional Word Detected";
"tenacious";"persistent";"Emotional Word Detected";
"tense";"strained";"Emotional Word Detected";
"terrible";"dreadful";"Emotional Word Detected";
"terrific";"exceptional";"Emotional Word Detected";
"terrified";"horrified";"Emotional Word Detected";
"thankful";"grateful";"Emotional Word Detected";
"threatened";"endangered";"Emotional Word Detected";
"thrilled";"content";"Emotional Word Detected";
"tickedoff";"irritated";"Emotional Word Detected";
"tragic";"sorrowful";"Emotional Word Detected";
"transparency";"openness";"Emotional Word Detected";
"trapped";"confined";"Emotional Word Detected";
"tremendous";"immense";"Emotional Word Detected";
"true";"legitimate";"Emotional Word Detected";
"truly";"genuinely";"Emotional Word Detected";
"trust";"confidence";"Emotional Word Detected";
"trustworthy";"dependable";"Emotional Word Detected";
"truth";"reality";"Emotional Word Detected";
"truthful";"honest";"Emotional Word Detected";
"unassuming";"modest";"Emotional Word Detected";
"unburdened";"reassured";"Emotional Word Detected";
"uncaring";"indifferent";"Emotional Word Detected";
"uncertain";"hesitant";"Emotional Word Detected";
"uncomfortable";"uneasy";"Emotional Word Detected";
"unfortunately";"regrettably";"Emotional Word Detected";
"uninterested";"indifferent";"Emotional Word Detected";
"unique";"distinctive";"Emotional Word Detected";
"unjustified";"unwarranted";"Emotional Word Detected";
"unreliable";"inconsistent";"Emotional Word Detected";
"unresponsive";"unreactive";"Emotional Word Detected";
"unstable";"precarious";"Emotional Word Detected";
"unsure";"hesitant";"Emotional Word Detected";
"uplifted";"elevated";"Emotional Word Detected";
"upset";"disturbed";"Emotional Word Detected";
"venomous";"toxic";"Emotional Word Detected";
"vindictive";"retaliatory";"Emotional Word Detected";
"violate";"infringe";"Emotional Word Detected";
"violation";"infringement";"Emotional Word Detected";
"violent";"forceful";"Emotional Word Detected";
"vulnerable";"susceptible";"Emotional Word Detected";
"wicked";"malevolent";"Emotional Word Detected";
"wished";"desired";"Emotional Word Detected";
"wonderful";"exceptional";"Emotional Word Detected";
"worried";"apprehensive";"Emotional Word Detected";
"worry";"apprehension";"Emotional Word Detected";
"worthwhile";"valuable";"Emotional Word Detected";
"had";"possesed";"Passive Word Detected";
"it is agreed";"consensus is";"Passive Word Detected";
"it was";"it stood as";"Passive Word Detected";
"were to";"iin the event that";"Passive Word Detected";
"were";"functioned as";"Passive Word Detected";
"weren't";"did not exist as";"Passive Word Detected";
"will be";"will";"Passive Word Detected";
"would like";"will";"Passive Word Detected";
"also";".";"Multiple Idea Word Detected";
"even";".";"Multiple Idea Word Detected";
"since";".";"Multiple Idea Word Detected";
"so";".";"Multiple Idea Word Detected";
"we";"The team";"First Person Plural Word Detected";
"us";"The Team";"First Person Plural Word Detected";
"our";"The Team";"First Person Plural Word Detected";
"I";"The Team";"First Person Singular Word Detected";
"me";"The Team";"First Person Singular Word Detected";
"myself";"The Team";"First Person Singular Word Detected";
"she";"They";"Gendered Word Detected";
"her";"Their";"Gendered Word Detected";
"hers";"Theirs";"Gendered Word Detected";
"herself";"Themself";"Gendered Word Detected";
"he";"They";"Gendered Word Detected";
"him";"Their";"Gendered Word Detected";
"his";"Theirs";"Gendered Word Detected";
"himself";"They";"Gendered Word Detected";
"ad hoc";"for this purpose";"Latin Word Detected";
"ad nauseum";"endlessly";"Latin Word Detected";
"de facto";"in practice";"Latin Word Detected";
"e.g.";"for example";"Latin Word Detected";
"eg";"for example";"Latin Word Detected";
"ergo";"therefore";"Latin Word Detected";
"etc";"and others";"Latin Word Detected";
"i.e.";"in other words";"Latin Word Detected";
"ie";"in other words";"Latin Word Detected";
"viz.";"namely";"Latin Word Detected";
"vs";"versus";"Latin Word Detected";
"not";"";"Negative Word Detected";
"thing";"";"Be More specific";
"really";"";"Don't use this word";
"basically";"";"Don't use this word";
"kind of";"";"Don't use this word";
"in order to";"to";"Don't use this word";
"utilize";"use";"Don't use this word";
"said";"stated";"Don't use this word";
"good";"commendable";"Don't use this word";
"bad";"substandard";"Don't use this word";
