phrase;replacements;message;url
"Arizonian";"Arizonan";"This is the prefered cultural reference";
"Arkansawyer";"Arkansan";"This is the prefered cultural reference";
"B4";"";"Are you kidding! Why would you type this!";
"Belarusan";"Belarusian";"This is the prefered cultural reference";
"Beyonce";"Beyoncé";"It's a Proper Noun";
"Bo Staff";"Bō";"At least you should use the proper form.";
"Brett Farve";"Brett Favre";"This is the correct spelling";
"Bronte";"Brontë";"It's a Proper Noun";
"CD disc";"CD";"At least you should use the proper form.";
"CPI Index";"CPI";"At least you should use the proper form.";
"Cal Ripkin";"Cal Ripken";"This is the correct spelling";
"Cayman Islander";"Caymanian";"This is the prefered cultural reference";
"Challah bread";"Challah";"At least you should use the proper form.";
"Champs-Elysees";"Champs-Élysées";"It's a Proper Noun";
"Chief Justice of the Supreme Court of the United States.";"Chief Justice of the United States";"Use this form, it's better. Trust me.";
"Chief Justice of the United States Supreme Court";"Chief Justice of the United States";"Use this form, it's better. Trust me.";
"Christiana";"";"Don't use this word";
"Citroen";"Citroën";"It's a Proper Noun";
"Coffee klatsch";"kaffeeklatsch";"Use this form, it's better. Trust me.";
"Coloradoan";"Coloradan";"This is the prefered cultural reference";
"Connecticuter";"Nutmegger";"This is the prefered cultural reference";
"Curacao";"Curaçao";"It's a Proper Noun";
"Dwayne Wade";"Dwyane Wade";"This is the correct spelling";
"ERASE THIS";"";"Don't use this word";
"El Nino";"El Niño";"It's Spanish";
"English language learners";"English-language learners";"At least you should use the proper form.";
"English speaking people";"English-speaking people";"At least you should use the proper form.";
"FIX ME";"";"Don't use this word";
"FIX THIS";"";"Don't use this word";
"FIXME";"";"Don't use this word";
"Fairbanksian";"Fairbanksan";"This is the prefered cultural reference";
"Fort Worther";"Fort Worthian";"This is the prefered cultural reference";
"Fuhrer";"Führer";"It's German";
"GPS system";"GPS";"At least you should use the proper form.";
"GR8";"";"Are you kidding! Why would you type this!";
"GUI interface";"GUI";"At least you should use the proper form.";
"Gewurztraminer";"Gewürztraminer";"It's German";
"Gipsy";"Nomad","Traveler","Roma","Romani";"Replace racially-charged language with more accurate and inclusive words";
"Grenadian";"Grenadan";"This is the prefered cultural reference";
"HIV negative person";"HIV-negative person";"At least you should use the proper form.";
"HIV positive person";"HIV-positive person";"At least you should use the proper form.";
"HIV virus";"HIV";"At least you should use the proper form.";
"Haagen-Dazs";"Häagen-Dazs";"It's a Proper Noun";
"Haagen Dazs";"Häagen-Dazs";"It's a Proper Noun";
"Halifaxer";"Haligonian";"It's a Proper Noun";
"Hallah bread";"Hallah";"At least you should use the proper form.";
"Hartlepoolian";"Hartlepudlian";"It's a Proper Noun";
"Her story is a strange one.";"Her story is strange.";"At least you should use the proper form.";
"Hobson's choice";"";"Don't use this word";
"Hong Kongian";"Hong Konger";"Use this form, it's better. Trust me.";
"Hong Kongite";"Hong Konger";"Use this form, it's better. Trust me.";
"I beg to differ";"";"Don't use this word";
"I myself";"the team";"Use this form, it's better. Trust me.";
"I personally";"the team";"Use this form, it's better. Trust me.";
"I was unaware of the fact that";"I did not know that","I was unaware that";"At least you should use the proper form.";
"I would argue that";"";"No. Just no. Don't say this";
"I";"The Team";"First Person Singular Word Detected";
"ISBN number";"ISBN";"At least you should use the proper form.";
"Illinoisian";"Illinoisan";"This is the prefered cultural reference";
"In recent years, an increasing number";"";"No. Just no. Don't say this";
"Indian country";"I haven’t seen you in a long time","it’s been a long time";"Avoid using phrases referring to the genocidal United States “Indian Removal” laws.";
"Indianan";"Hoosier";"Use this form, it's better. Trust me.";
"Indianian";"Hoosier";"Use this form, it's better. Trust me.";
"Iowegian";"Iowan";"This is the prefered cultural reference";
"J.J. Reddick";"J.J. Redick";"This is the correct spelling";
"Jack of all trades";"";"Don't use this word";
"Johnny Peralta";"Jhonny Peralta";"This is the correct spelling";
"Khruschev";"Khrushchev";"Use this form, it's better. Trust me.";
"Klu Klux Klan";"Ku Klux Klan";"At least you should use the proper form.";
"Kruschev";"Khrushchev";"Use this form, it's better. Trust me.";
"LCD display";"LCD";"At least you should use the proper form.";
"LOL";"";"Are you kidding! Why would you type this!";
"LUV";"";"Are you kidding! Why would you type this!";
"La Nina";"La Niña";"It's Spanish";
"Lady Mondegreen";"laid him on the green";"At least you should use the proper form.";
"Leedsian";"Leodenisian";"It's a Proper Noun";
"Liverpoolian";"Liverpudlian";"It's a Proper Noun";
"Los Angelean";"Angeleno";"This is the prefered cultural reference";
"Louisianan";"Louisianian";"This is the prefered cultural reference";
"Lowenbrau";"Löwenbräu";"It's a Proper Noun";
"Magna Charta";"Magna Carta";"At least you should use the proper form.";
"Manchesterian";"Mancunian";"It's a Proper Noun";
"Manchesterians";"Mancunians";"It's a Proper Noun";
"Manny Packquaio";"Manny Pacquiao";"This is the correct spelling";
"Mark Buerhle";"Mark Buehrle";"This is the correct spelling";
"Mark Texeira";"Mark Teixeira";"This is the correct spelling";
"Meantime,";"Meanwhile,";"At least you should use the proper form.";
"Mephistophelian";"Mephistophelean";"It's a Proper Noun";
"Michiganian";"Michigander";"Use this form, it's better. Trust me.";
"Michiganite";"Michigander";"Use this form, it's better. Trust me.";
"Middle West";"Midwest";"At least you should use the proper form.";
"Middle Western";"Midwestern";"At least you should use the proper form.";
"Mike Kryzewski";"Mike Krzyzewski";"This is the correct spelling";
"Mikka Kiprusoff";"Miikka Kiprusoff";"This is the correct spelling";
"Milky Way galaxy";"Milky Way";"At least you should use the proper form.";
"Minneapolisian";"Minneapolitan";"It's a Proper Noun";
"Missouran";"Missourian";"This is the prefered cultural reference";
"Monacan";"Monégasque";"This is the prefered cultural reference";
"Monegasque";"Monégasque";"It's a Proper Noun";
"Monte Ellis";"Monta Ellis";"This is the correct spelling";
"Motley Crue";"Mötley Crüe";"It's a Proper Noun";
"Mount Fujiyama";"Mount Fuji";"At least you should use the proper form.";
"Neopolitan";"Neapolitan";"This is the prefered cultural reference";
"Nescafe";"Nescafé";"It's a Proper Noun";
"New Hampshireite";"New Hampshirite";"Use this form, it's better. Trust me.";
"New Hampshireman";"New Hampshirite";"Use this form, it's better. Trust me.";
"New Jerseyite";"New Jerseyan";"This is the prefered cultural reference";
"New Orleansian";"New Orleanian";"This is the prefered cultural reference";
"Newcastleite";"Novocastrian";"It's a Proper Noun";
"Newcastlite";"Novocastrian";"It's a Proper Noun";
"OMG";"";"Are you kidding! Why would you type this!";
"Oklahoma Citian";"Oklahoma Cityan";"This is the prefered cultural reference";
"Oklahomian";"Oklahoman";"This is the prefered cultural reference";
"Olive, the other reindeer";"all of the other reindeer";"At least you should use the proper form.";
"PDF format";"PDF";"At least you should use the proper form.";
"PIN number";"PIN";"At least you should use the proper form.";
"Pontius Pilot";"Pontius Pilate";"At least you should use the proper form.";
"Providencer";"Providentian";"Use this form, it's better. Trust me.";
"Providencian";"Providentian";"Use this form, it's better. Trust me.";
"Quebec";"Québec";"It's a Proper Noun";
"Quebecois";"Québécois";"It's a Proper Noun";
"Queensryche";"Queensrÿche";"It's a Proper Noun";
"RAS syndrome";"RAS";"At least you should use the proper form.";
"RIP in peace";"RIP";"At least you should use the proper form.";
"Rio Grande river";"Rio Grande";"At least you should use the proper form.";
"SALT talks";"SALT";"At least you should use the proper form.";
"SAT test";"SAT";"At least you should use the proper form.";
"SWAK";"";"Are you kidding! Why would you type this!";
"Saudi Arabian";"Saudi";"This is the prefered cultural reference";
"Seattlite";"Seattleite";"This is the prefered cultural reference";
"Shakespearian";"Shakespearean";"It's a Proper Noun";
"Skoda";"Škoda";"It's a Proper Noun";
"Skyler Diggins";"Skylar Diggins";"This is the correct spelling";
"Stephon Curry";"Stephen Curry";"This is the correct spelling";
"Suddenly,";"";"No. Just no. Don't say this";
"Surinamer";"Surinamese";"This is the prefered cultural reference";
"THNX";"";"Are you kidding! Why would you type this!";
"THX";"";"Are you kidding! Why would you type this!";
"TODO";"";"Don't use this word";
"TTYL";"";"Are you kidding! Why would you type this!";
"Tallahassean";"Tallahasseean";"This is the prefered cultural reference";
"Tennesseean";"Tennessean";"This is the prefered cultural reference";
"Thankfully,";"";"Are you kidding! Why would you type this!";
"The preceding paragraph demonstrated";"";"No. Just no. Don't say this";
"The preceeding discussion";"";"No. Just no. Don't say this";
"The previous section analyzed";"";"No. Just no. Don't say this";
"The rest of this article";"";"No. Just no. Don't say this";
"This chapter discusses";"";"No. Just no. Don't say this";
"Tori Hunter";"Torii Hunter";"This is the correct spelling";
"Trentian";"Tridentine";"Use this form, it's better. Trust me.";
"Trentonian";"Tridentine";"Use this form, it's better. Trust me.";
"Trois-Rivièrester";"Trifluvian";"It's a Proper Noun";
"Tusconian";"Tusconan";"Use this form, it's better. Trust me.";
"Tusconite";"Tusconan";"Use this form, it's better. Trust me.";
"U.S. led campaign";"U.S.-led campaign";"At least you should use the proper form.";
"UPC codes";"UPC";"At least you should use the proper form.";
"Ubermensch";"Übermensch";"It's German";
"Utahan";"Utahn";"This is the prefered cultural reference";
"Valladolidian";"Vallisoletano";"It's a Proper Noun";
"Venus' flytrap";"Venus flytrap";"Use this form, it's better. Trust me.";
"Venus's flytrap";"Venus flytrap";"Use this form, it's better. Trust me.";
"Warsawer";"Varsovian";"Use this form, it's better. Trust me.";
"Warsawian";"Varsovian";"Use this form, it's better. Trust me.";
"Wolverhamptonian";"Wulfrunian";"It's a Proper Noun";
"Wolverhamptonite";"Wulfrunian";"It's a Proper Noun";
"XOXO";"";"Are you kidding! Why would you type this!";
"Zoroastrism";"Zoroastrianism";"At least you should use the proper form.";
"\'till?";"till";"This is the correct spelling";
"a bit";"limited";"Unconcious Bias Detected";
"a chip off the old block";"";"Don't use this word";
"a clean slate";"";"Don't use this word";
"a consideration which we should do well to bear in mind";"";"No. Just no. Don't say this";
"a couple people";"a couple of people";"At least you should use the proper form.";
"a dark and stormy night";"";"Don't use this word";
"a far cry";"";"Don't use this word";
"a fate worse than death";"";"Don't use this word";
"a fine kettle of fish";"";"Don't use this word";
"a girl with colitis goes by";"a girl with kaleidoscope eyes";"At least you should use the proper form.";
"a la carte";"à la carte";"It's French";
"a la mode";"à la mode";"It's French";
"a loose cannon";"";"Don't use this word";
"a lot";"numerous";"Weasel Word Detected";
"a matter of concern";"";"Don't use this word";
"a minute to decompose";"a minute to decompress";"At least you should use the proper form.";
"a not unjustifiable assumption";"";"No. Just no. Don't say this";
"a number of";"numerous";"Weasel Word Detected";
"a part-red gingerbread tree";"a partridge in a pear tree";"At least you should use the proper form.";
"a penny saved is a penny earned";"";"Don't use this word";
"a resume";"a résumé";"It's French";
"a timpano";"a timpani";"This is the correct spelling";
"a tough row to hoe";"";"Don't use this word";
"a while";"a duration";"Weasel Word Detected";
"a word to the wise";"";"Don't use this word";
"a.d.d.";"disorganized","unfocused","energetic","hyperactive","impetuous","impulsive","inattentive","restless","unfocused";"Use this form, it's better. Trust me.";
"a.d.h.d.";"disorganized","unfocused","energetic","hyperactive","impetuous","impulsive","inattentive","restless","unfocused";"Use this form, it's better. Trust me.";
"a.m. in the morning";"a.m.";"At least you should use the proper form.";
"a.s.s.";"";"Are you kidding! Why would you type this!";
"abbeter";"abettor";"This is the correct spelling";
"abbreviatable";"abbreviable";"This is the correct spelling";
"abdicatable";"abdicable";"This is the correct spelling";
"abducter";"abductor";"This is the correct spelling";
"ablebodied";"non-disabled";"Addiction is a neurobiological disease.";
"abolishment";"abolition";"At least you should use the proper form.";
"abort";"stop";"Unconcious Bias Detected";
"aborted";"stopped";"Unconcious Bias Detected";
"aborting";"stopping";"Unconcious Bias Detected";
"abortive";"";"Don't use this word";
"about";"approximately";"Weasel Word Detected";
"abrogatable";"abrogable";"This is the correct spelling";
"absolute guarantee";"guarantee";"At least you should use the proper form.";
"absolute necessity";"necessity";"At least you should use the proper form.";
"absolute";"";"Don't use this word";
"absolutely essential";"essential";"At least you should use the proper form.";
"absolutely necessary";"necessary";"At least you should use the proper form.";
"absolutely sure";"assured";"At least you should use the proper form.";
"academicly";"academically";"This is the correct spelling";
"acai";"açaí";"It's Portuguese";
"accessable";"accessible";"This is the correct spelling";
"accessary";"accessory";"At least you should use the proper form.";
"accidently";"accidentally";"This is the correct spelling";
"accommodatable";"accommodable";"This is the correct spelling";
"accomodatable";"accommodable";"This is the correct spelling";
"accreditate";"accredit";"At least you should use the proper form.";
"accruement";"accrual";"At least you should use the proper form.";
"accumulatable";"accumulable";"This is the correct spelling";
"accused of a charge";"charged with...";"At least you should use the proper form.";
"accusee";"accused";"At least you should use the proper form.";
"ace in the hole";"";"Don't use this word";
"acid test";"";"Don't use this word";
"acknowledging yours of";"";"Are you kidding! Why would you type this!";
"acquaintanceship";"acquaintance";"At least you should use the proper form.";
"acquiror";"acquirer";"This is the correct spelling";
"acquitment";"acquittal";"At least you should use the proper form.";
"across the board discounts";"across-the-board discounts";"At least you should use the proper form.";
"actionible";"actionable";"This is the correct spelling";
"activatable";"activable";"This is the correct spelling";
"actor";"performer","star","artist","entertainer";"Using gender neutral language means users will help to break up gender stereotypes";
"actors";"performers","stars","artists","entertainers";"Using gender neutral language means users will help to break up gender stereotypes";
"actress";"performer","star","artist","entertainer";"Using gender neutral language means users will help to break up gender stereotypes";
"actresses";"performers","stars","artists","entertainers";"Using gender neutral language means users will help to break up gender stereotypes";
"actual experience";"experience";"Use this form, it's better. Trust me.";
"actual fact";"fact";"At least you should use the proper form.";
"actual facts";"facts";"Use this form, it's better. Trust me.";
"acute care treatment";"acute-care treatment";"At least you should use the proper form.";
"ad hoc";"for this purpose";"Latin Word Detected";
"ad nauseum";"endlessly";"Latin Word Detected";
"adaptable";"flexible";"Emotional Word Detected";
"adaptor";"adapter";"This is the correct spelling";
"add a further";"add";"Use this form, it's better. Trust me.";
"add an additional";"add";"Use this form, it's better. Trust me.";
"add insult to injury";"";"Don't use this word";
"added bonus";"bonus";"Use this form, it's better. Trust me.";
"addible";"addable";"This is the correct spelling";
"addict";"person with a drug addiction","person recovering from a drug addiction";"Addiction is a neurobiological disease.";
"addicts";"people with a drug addiction","people recovering from a drug addiction";"Alcoholism is a neurobiological disease.";
"adducable";"adducible";"This is the correct spelling";
"adequate enough";"adequate";"At least you should use the proper form.";
"adhd";"disorganized","unfocused","energetic","hyperactive","impetuous","impulsive","inattentive","restless","unfocused";"Use this form, it's better. Trust me.";
"administratable";"administrable";"This is the correct spelling";
"administrate";"administer";"At least you should use the proper form.";
"administrated";"administered";"At least you should use the proper form.";
"administrating";"administering";"At least you should use the proper form.";
"admissable";"admissible";"This is the correct spelling";
"admitted homosexual";"openly gay";"Use this form, it's better. Trust me.";
"admittible";"admittable";"This is the correct spelling";
"adulteratable";"adulterable";"This is the correct spelling";
"adulterate";"adulterous";"At least you should use the proper form.";
"advance forward";"advance";"At least you should use the proper form.";
"advance planning";"planning";"Use this form, it's better. Trust me.";
"advance preview";"preview";"At least you should use the proper form.";
"advance reservations";"reservations";"At least you should use the proper form.";
"advance warning";"warning";"At least you should use the proper form.";
"advancing backwards?";"";"No. Just no. Don't say this";
"advisatory";"advisory";"At least you should use the proper form.";
"advisible";"advisable";"This is the correct spelling";
"advisor";"adviser";"Use the correct spelling";
"advocator";"advocate";"At least you should use the proper form.";
"affectible";"affectable";"This is the correct spelling";
"affiliatable";"affiliable";"This is the correct spelling";
"affirmative yes";"yes";"At least you should use the proper form.";
"afflicted with MD";"person who has muscular dystrophy";"Use this form, it's better. Trust me.";
"afflicted with a disability";"has a disability","person with a disability","people with disabilities";"Refer to the person, rather than the disability, first.";
"afflicted with a intellectual disability";"person with an intellectual disability";"Describe the behavior or illness without derogatory words.";
"afflicted with a polio";"polio","person who had polio";"Use this form, it's better. Trust me.";
"afflicted with aids";"person with AIDS";"Use this form, it's better. Trust me.";
"afflicted with an injury";"sustain an injury","receive an injury";"Use this form, it's better. Trust me.";
"afflicted with disabilities";"has a disability","person with a disability","people with disabilities";"Refer to the person, rather than the disability, first.";
"afflicted with injuries";"sustain injuries","receive injuries";"Use this form, it's better. Trust me.";
"afflicted with intellectual disabilities";"person with an intellectual disability";"Describe the behavior or illness without derogatory words.";
"afflicted with multiple sclerosis";"person who has multiple sclerosis";"Refer to a person's condition as a state, not as an affliction.";
"afflicted with muscular dystrophy";"person who has muscular dystrophy";"Use this form, it's better. Trust me.";
"afflicted with polio";"polio","person who had polio";"Use this form, it's better. Trust me.";
"afflicted with psychosis";"person with a psychotic condition","person with psychosis";"Use this form, it's better. Trust me.";
"afflicted with schizophrenia";"person with schizophrenia";"Use this form, it's better. Trust me.";
"affrontery";"effrontery";"At least you should use the proper form.";
"again";"";"Filler Word Detected";
"against all odds";"";"Don't use this word";
"agendize";"";"No. Just no. Don't say this";
"aggravate";"intensify";"Emotional Word Detected";
"aggregatable";"aggregable";"This is the correct spelling";
"aggressive";"assertive";"Emotional Word Detected";
"aggrievance";"grievance";"At least you should use the proper form.";
"agitatable";"agitable";"This is the correct spelling";
"agitated";"unsettled";"Emotional Word Detected";
"agony";"stress";"Emotional Word Detected";
"agreed upon answer";"agreed-upon answer";"At least you should use the proper form.";
"aids victim";"person with AIDS";"Use this form, it's better. Trust me.";
"air your dirty laundry";"";"Don't use this word";
"aircrew woman";"pilot","aviator","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"aircrew women";"pilots","aviators","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"aircrewman";"pilot","aviator","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"aircrewwoman";"pilot","aviator","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"aircrewwomen";"pilots","aviators","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"airman";"pilot","aviator","airstaff";"Using gender neutral language means users will help to break up gender stereotypes";
"alack";"";"Don't use this word";
"alarmed";"alerted";"Emotional Word Detected";
"alas and alack";"";"Don't use this word";
"alcohol abuser";"someone with an alcohol problem";"Use this form, it's better. Trust me.";
"alcoholic";"someone with an alcohol problem";"Use this form, it's better. Trust me.";
"alderman";"cabinet member";"Using gender neutral language means users will help to break up gender stereotypes";
"aldermen";"cabinet","cabinet members","alderperson";"Using gender neutral language means users will help to break up gender stereotypes";
"alderwoman";"cabinet member";"Using gender neutral language means users will help to break up gender stereotypes";
"alderwomen";"cabinet","cabinet members","alderperson";"Using gender neutral language means users will help to break up gender stereotypes";
"alienatable";"alienable";"This is the correct spelling";
"alienated";"isolated";"Emotional Word Detected";
"all fun and games";"";"Don't use this word";
"all hands on deck";"";"Don't use this word";
"all hell broke loose";"";"Don't use this word";
"all in a day's work";"";"Don't use this word";
"all inclusive";"inclusive";"At least you should use the proper form.";
"all it's own";"";"No. Just no. Don't say this";
"all of the time";"all the time";"At least you should use the proper form.";
"all talk, no action";"";"Don't use this word";
"all things being equal";"";"Don't use this word";
"all thumbs";"";"Don't use this word";
"all your eggs in one basket";"";"Don't use this word";
"all's fair in love and war";"";"Don't use this word";
"all's well that ends well";"";"Don't use this word";
"allegator";"alleger";"At least you should use the proper form.";
"allegeible";"allegeable";"This is the correct spelling";
"alleviatable";"alleviable";"This is the correct spelling";
"alligators";"congregation";"A group of alligators is called a congregation";
"allocatable";"allocable";"This is the correct spelling";
"alludes explicitly to";"";"No. Just no. Don't say this";
"allusory";"allusive";"At least you should use the proper form.";
"almighty dollar";"";"Don't use this word";
"almost";"virtually";"Weasel Word Detected";
"alot";"a lot";"There is a word for that";
"already";"";"Filler Word Detected";
"also";".";"Multiple Idea Word Detected";
"alternative choice";"alternative";"At least you should use the proper form.";
"alumna";"graduate";"Using gender neutral language means users will help to break up gender stereotypes";
"alumnae";"graduates";"Using gender neutral language means users will help to break up gender stereotypes";
"alumni";"graduates";"Using gender neutral language means users will help to break up gender stereotypes";
"alumnus";"graduate";"Using gender neutral language means users will help to break up gender stereotypes";
"always";"consistently";"Weasel Word Detected";
"amaretto almond";"amaretto";"At least you should use the proper form.";
"amateur expert";"";"No. Just no. Don't say this";
"amative";"amorous";"At least you should use the proper form.";
"amazing";"outstanding";"Emotional Word Detected";
"amelioratable";"ameliorable";"This is the correct spelling";
"amn't i";"aren't i";"This is the correct spelling";
"amortizement";"amortization";"At least you should use the proper form.";
"amphiboly";"amphibology";"At least you should use the proper form.";
"amputee";"person with an amputation";"Refer to the specific disability.";
"an axe to grind";"";"Don't use this word";
"an't i";"aren't i";"This is the correct spelling";
"anal annie";"";"Are you kidding! Why would you type this!";
"anal sex";"";"Are you kidding! Why would you type this!";
"anal";"";"Are you kidding! Why would you type this!";
"analannie";"";"Are you kidding! Why would you type this!";
"analingus";"anilingus";"This is the correct spelling";
"analsex";"";"Are you kidding! Why would you type this!";
"analyse";"analyze";"Use the correct spelling";
"analyzation";"analysis";"At least you should use the proper form.";
"analyzible";"analyzable";"This is the correct spelling";
"anchorman";"anchor","journalist";"Using gender neutral language means users will help to break up gender stereotypes";
"anchorperson";"anchor";"This is the correct spelling";
"anchorwoman";"anchor","journalist";"Using gender neutral language means users will help to break up gender stereotypes";
"ancient man";"ancient civilization","ancient people";"Use this form, it's better. Trust me.";
"and etc.";"etc.";"At least you should use the proper form.";
"anecdotalist";"anecdotist";"At least you should use the proper form.";
"anent";"";"Don't use this word";
"anger";"irritation";"Emotional Word Detected";
"angry";"irritated";"Emotional Word Detected";
"angstrom";"ångström";"It's a Proper Noun";
"anilinctus";"anilingus";"At least you should use the proper form.";
"annexible";"annexable";"This is the correct spelling";
"annihilatable";"annihilable";"This is the correct spelling";
"annoyment";"annoyance";"At least you should use the proper form.";
"annual anniversary";"anniversary";"At least you should use the proper form.";
"anon";"";"Don't use this word";
"anonymous stranger";"stranger";"At least you should use the proper form.";
"anorexic";"thin","slim";"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
"another day, another dollar";"";"Don't use this word";
"antagonistic";"hostile";"Emotional Word Detected";
"antelopes";"herd";"A group of antelopes is called a herd";
"anticipative";"anticipatory";"At least you should use the proper form.";
"antithetic";"antithetical";"At least you should use the proper form.";
"anus";"";"Are you kidding! Why would you type this!";
"anxious";"uneasy";"Emotional Word Detected";
"anyway";"";"Filler Word Detected";
"appalled";"shocked";"Emotional Word Detected";
"appeared";"";"Filler Word Detected";
"appearence";"appearance";"This is the correct spelling";
"apples to apples";"";"Don't use this word";
"applicative";"applicable";"At least you should use the proper form.";
"applicatory";"applicable";"At least you should use the proper form.";
"applier";"applicator";"At least you should use the proper form.";
"appraisal valuations?";"";"Are you kidding! Why would you type this!";
"appreciatable";"appreciable";"This is the correct spelling";
"approbative";"approbatory";"At least you should use the proper form.";
"appropriatable";"appropriable";"This is the correct spelling";
"approximately about";"approximately";"At least you should use the proper form.";
"arbitrager";"arbitrageur";"At least you should use the proper form.";
"arbitratable";"arbitrable";"This is the correct spelling";
"are many a";"is many a";"At least you should use the proper form.";
"argumentative";"disputative";"Emotional Word Detected";
"armed gunman";"gunman";"At least you should use the proper form.";
"armed gunmen";"gunmen";"At least you should use the proper form.";
"armed reconnaissance";"a search-and-destroy mission";"At least you should use the proper form.";
"armed to the teeth";"";"Don't use this word";
"around";"approximately";"Weasel Word Detected";
"arrestible";"arrestable";"This is the correct spelling";
"arse";"";"Are you kidding! Why would you type this!";
"arsenous";"arsenious";"At least you should use the proper form.";
"articulatable";"articulable";"This is the correct spelling";
"artificial prosthesis";"prosthesis";"At least you should use the proper form.";
"as a last resort";"";"Don't use this word";
"as follow";"as follows";"At least you should use the proper form.";
"as for example";"for example";"At least you should use the proper form.";
"as luck would have it";"";"Don't use this word";
"as old as time";"";"Don't use this word";
"as the crow flies";"";"Don't use this word";
"as well as";"and";"Filler Words";
"ascend up";"ascend";"At least you should use the proper form.";
"ascendance";"ascendancy";"At least you should use the proper form.";
"ascendence";"ascendancy";"At least you should use the proper form.";
"ascendency";"ascendancy";"At least you should use the proper form.";
"ascendible";"ascendable";"This is the correct spelling";
"ask the question";"ask";"At least you should use the proper form.";
"ass bagger";"";"Are you kidding! Why would you type this!";
"ass blaster";"";"Are you kidding! Why would you type this!";
"ass clown";"";"Are you kidding! Why would you type this!";
"ass cowboy";"";"Are you kidding! Why would you type this!";
"ass fuck";"";"Are you kidding! Why would you type this!";
"ass fucker";"";"Are you kidding! Why would you type this!";
"ass hole";"";"Are you kidding! Why would you type this!";
"ass holes";"";"Are you kidding! Why would you type this!";
"ass hore";"";"Are you kidding! Why would you type this!";
"ass jockey";"";"Are you kidding! Why would you type this!";
"ass kiss";"";"Are you kidding! Why would you type this!";
"ass kisser";"";"Are you kidding! Why would you type this!";
"ass klown";"";"Are you kidding! Why would you type this!";
"ass lick";"";"Are you kidding! Why would you type this!";
"ass licker";"";"Are you kidding! Why would you type this!";
"ass lover";"";"Are you kidding! Why would you type this!";
"ass man";"";"Are you kidding! Why would you type this!";
"ass monkey";"";"Are you kidding! Why would you type this!";
"ass munch";"";"Are you kidding! Why would you type this!";
"ass muncher";"";"Are you kidding! Why would you type this!";
"ass packer";"";"Are you kidding! Why would you type this!";
"ass pirate";"";"Are you kidding! Why would you type this!";
"ass puppies";"";"Are you kidding! Why would you type this!";
"ass ranger";"";"Are you kidding! Why would you type this!";
"ass whore";"";"Are you kidding! Why would you type this!";
"ass wipe";"";"Are you kidding! Why would you type this!";
"ass";"";"Are you kidding! Why would you type this!";
"assbagger";"";"Are you kidding! Why would you type this!";
"assblaster";"";"Are you kidding! Why would you type this!";
"assclown";"";"Are you kidding! Why would you type this!";
"asscowboy";"";"Are you kidding! Why would you type this!";
